date,open,high,low,close,ID,ticker
8/24/17,69.43,69.44,67.82,67.91,2713748,K
8/24/17,36.58,37.3,36.014,36.25,4282954,LB
8/24/17,45.81,45.83,45.21,45.23,1049792,LEG
8/24/17,50.7451,50.8039,50.1372,50.1863,911648,LEN
8/24/17,153.93,154.89,153.33,154.42,892822,LH
8/24/17,34.26,34.39,33.89,33.95,1242467,LKQ
8/24/17,179.81,180.44,178.34,180.07,267752,LLL
8/24/17,78.33,79.24,78.26,78.86,4188366,LLY
8/24/17,303.51,304.05,301.25,302.6,574443,LMT
8/24/17,68.14,68.54,67.87,68,2329365,LNC
8/24/17,43,43.09,42.75,42.86,892447,LNT
8/24/17,73.2,73.87,72.32,72.61,10580170,LOW
8/24/17,162.21,162.8,158.09,158.82,1473728,LRCX
8/24/17,24.08,24.08,23.89,23.99,1276883,LUK
8/24/17,52.11,52.16,50.49,50.71,8511973,LUV
8/24/17,89.4,89.77,88.98,89.51,1294449,LYB
8/24/17,47.58,47.62,47.21,47.21,722244,L
8/24/17,107.75,108.27,107.37,107.47,563499,MAA
8/24/17,54.43,55.38,53.32,53.38,1093176,MAC
8/24/17,100.56,101.03,99.58,99.95,1364972,MAR
8/24/17,36.86,36.96,36.45,36.48,2227154,MAS
8/24/17,16.05,16.295,15.93,16.24,7022047,MAT
8/24/17,133.23,133.46,131.98,132.96,2046557,MA
8/24/17,159.11,159.679,158.3321,158.41,1634784,MCD
8/24/17,82.95,83.49,82.35,82.69,1456730,MCHP
8/24/17,147.59,148.115,146.74,146.87,1249517,MCK
8/24/17,132.53,132.97,131.47,132.2,430590,MCO
8/24/17,42.99,43.09,41.79,41.88,16105553,MDLZ
8/24/17,79.69,80.1,79.111,79.24,7364983,MDT
8/24/17,47.22,47.62,46.99,47.6,4927740,MET
8/24/17,31.39,31.71,31.21,31.55,3451523,MGM
8/24/17,248.64,249.29,244.77,245.9,338087,MHK
8/24/17,96.96,97.27,94.77,94.78,1027161,MKC
8/24/17,203.34,203.665,199.9,199.98,623273,MLM
8/24/17,77.31,77.43,76.85,76.88,874181,MMC
8/24/17,203.89,203.89,201.96,202.12,1230772,MMM
8/24/17,55.1,55.24,54.78,54.98,1609352,MNST
8/24/17,116.82,116.85,116.51,116.68,935257,MON
8/24/17,20.2,20.42,20,20.19,2380246,MOS
8/24/17,63.81,63.93,63.31,63.6,5238972,MO
8/24/17,50.26,51.54,50.19,51.13,4070142,MPC
8/24/17,62.25,62.91,62.19,62.71,7750055,MRK
8/24/17,10.97,11.05,10.89,10.99,7748814,MRO
8/24/17,72.74,72.86,72.07,72.69,17098282,MSFT
8/24/17,86.44,86.71,85.91,86.51,870087,MSI
8/24/17,45.97,46.18,45.73,46,6640733,MS
8/24/17,153.54,153.63,152.57,152.83,407383,MTB
8/24/17,591.54,594.075,587.55,591.83,90390,MTD
8/24/17,30.55,30.6295,30.11,30.22,18056826,MU
8/24/17,30.14,30.805,30.1,30.21,6235543,MYL
8/24/17,20.89,21.26,20.605,20.69,12329836,M
8/24/17,13.69,13.74,13.6,13.62,1000600,NAVI
8/24/17,23.59,23.69,23.45,23.54,3315354,NBL
8/24/17,57.33,57.905,57.29,57.73,1563125,NCLH
8/24/17,75.9,75.9,74.91,74.94,854646,NDAQ
8/24/17,150,150.0045,148.94,149.31,1291115,NEE
8/24/17,36.94,37.095,36.64,36.82,4823190,NEM
8/24/17,169.86,171.2363,166.15,168.13,5361749,NFLX
8/24/17,24.77,25.24,24.7,25.09,1993524,NFX
8/24/17,27.03,27.1,26.87,26.94,9490610,NI
8/24/17,53.93,53.97,53.46,53.84,5461911,NKE
8/24/17,39.08,39.4,39,39.27,2262391,NLSN
8/24/17,269.88,270.64,268.3,268.54,393600,NOC
8/24/17,30.26,30.31,30.055,30.08,2080366,NOV
8/24/17,25.62,25.65,25.06,25.43,4948589,NRG
8/24/17,119.06,119.6255,117.1,117.74,959825,NSC
8/24/17,38.76,38.93,38.51,38.81,2212374,NTAP
8/24/17,89.59,89.94,89.035,89.75,1746548,NTRS
8/24/17,54.97,55.19,54.3,54.59,1423648,NUE
8/24/17,167.1,167.28,164.12,165.19,11742501,NVDA
8/24/17,48.84,48.85,47.95,48.15,2920457,NWL
8/24/17,13.21,13.23,13.09,13.2,1161440,NWSA
8/24/17,13.6,13.6,13.45,13.6,271617,NWS
8/24/17,53.26,53.855,53.26,53.47,2814892,OKE
8/24/17,72.9,73.8,72.75,73.01,2574737,OMC
8/24/17,49.07,49.2569,48.88,49.19,7365529,ORCL
8/24/17,194.72,197.67,194.72,196.44,1322568,ORLY
8/24/17,59.56,59.56,59.06,59.13,2387837,OXY
8/24/17,58.19,58.45,57.47,57.5,1014952,O
8/24/17,55.83,55.9,55.46,55.54,1313617,PAYX
8/24/17,16.75,16.78,16.65,16.67,1819280,PBCT
8/24/17,64.1,64.29,63.73,63.82,1215406,PCAR
8/24/17,69.87,70.04,69.6817,69.78,1035667,PCG
8/24/17,1813.04,1822.47,1801.11,1815.51,316979,PCLN
8/24/17,38.5,39.21,36.52,36.84,4079798,PDCO
8/24/17,47.21,47.38,47.04,47.22,1266005,PEG
8/24/17,117.26,117.3,116.03,116.22,4760021,PEP
8/24/17,33.37,33.395,33.17,33.23,11518441,PFE
8/24/17,63.39,63.505,63.03,63.07,679343,PFG
8/24/17,48.94,48.94,48.24,48.26,2618983,PGR
8/24/17,92.44,92.57,92.04,92.27,5173720,PG
8/24/17,25.07,25.14,24.86,24.91,2970938,PHM
8/24/17,157.37,157.755,156.5,156.57,587101,PH
8/24/17,109.45,110.4,109.14,110.12,614280,PKG
8/24/17,65.13,65.52,64.88,65.18,295909,PKI
8/24/17,63,63.079,62.2,62.27,1889521,PLD
8/24/17,115.66,116.11,114.1,114.52,2806028,PM
8/24/17,127.81,128.03,127.11,127.67,889519,PNC
8/24/17,60.88,61.11,60.75,60.97,553022,PNR
8/24/17,89.86,90.33,89.635,89.9,520673,PNW
8/24/17,103.91,104.57,103.6,103.71,685316,PPG
8/24/17,39.47,39.555,39.335,39.5,2133903,PPL
8/24/17,77.32,78.305,77.3,77.5,1141900,PRGO
8/24/17,101.7,102.29,101.42,101.69,1724781,PRU
8/24/17,205.4,206.78,204.35,204.67,727581,PSA
8/24/17,82.06,84.41,82.06,83.87,2463215,PSX
8/24/17,128,130.25,122,126.92,3806381,PVH
8/24/17,34.46,34.485,33.98,34.41,1822856,PWR
8/24/17,129.32,129.52,127.68,128.41,970444,PXD
8/24/17,132.73,132.975,131.81,132.15,624160,PX
8/24/17,60.22,60.43,59.11,60,4045282,PYPL
8/24/17,52.37,52.71,52.26,52.49,6198617,QCOM
8/24/17,70.99,71.2,70.13,70.25,827546,QRVO
8/24/17,121.18,121.34,119.97,120.54,1407127,RCL
8/24/17,477.27,488.82,474.3431,485.26,538991,REGN
8/24/17,66.07,67.1,65.23,65.26,1170971,REG
8/24/17,262.78,263.1,256.675,257.61,369587,RE
8/24/17,14.38,14.47,14.315,14.45,9752725,RF
8/24/17,43.89,43.89,43.53,43.72,583631,RHI
8/24/17,104.54,104.695,103.1,104.65,940123,RHT
8/24/17,79.28,79.58,78.7642,78.79,640307,RJF
8/24/17,85.4,86.94,84.75,85.95,1657073,RL
8/24/17,73.82,74.16,73.57,73.9,439521,RMD
8/24/17,160.24,160.5725,159.32,160.13,600306,ROK
8/24/17,231.56,232.255,228.66,229.03,282352,ROP
8/24/17,59.36,60.8,58.14,58.33,4233463,ROST
8/24/17,18.35,18.91,18.3,18.6,7219504,RRC
8/24/17,64.46,64.7,64.11,64.16,890137,RSG
8/24/17,178.76,178.895,177.47,177.99,1031285,RTN
8/24/17,146.83,148.34,146.34,148.08,992257,SBAC
8/24/17,54.26,54.445,53.77,53.94,8716699,SBUX
8/24/17,59.95,60.36,59.34,60.19,1403745,SCG
8/24/17,40,40,39.62,39.64,3604533,SCHW
8/24/17,45.33,45.39,44.815,44.85,1465706,SEE
8/24/17,336.82,336.85,334.33,335.56,443649,SHW
8/24/17,62.29,63.99,59.92,60.54,12460373,SIG
8/24/17,112.5,113.1,106.93,107.51,5352375,SJM
8/24/17,63.1,63.24,62.56,62.88,5674063,SLB
8/24/17,98.1,98.36,97.01,97.1,789383,SLG
8/24/17,141.87,142.99,141.36,142.83,640076,SNA
8/24/17,85.78,86.07,85.72,85.86,3215548,SNI
8/24/17,78.68,78.78,77.91,78.55,586380,SNPS
8/24/17,48.03,48.14,47.875,48.02,2877765,SO
8/24/17,151.15,151.72,150.43,151.45,534912,SPGI
8/24/17,158.67,161.07,156.3801,156.66,2289872,SPG
8/24/17,70.93,71.57,70.86,71.41,523280,SRCL
8/24/17,118.45,119.195,118.26,119.07,897265,SRE
8/24/17,56.47,56.55,56.15,56.23,1889944,STI
8/24/17,93.72,94.43,93.31,93.78,1680675,STT
8/24/17,31.11,31.43,30.95,31.02,4542635,STX
8/24/17,198.41,199.79,196.08,196.88,1267506,STZ
8/24/17,102.93,103.31,101.94,102.5,1131686,SWKS
8/24/17,137.4,138.145,136.64,137.16,547902,SWK
8/24/17,30.49,30.7,30.3,30.46,3220895,SYF
8/24/17,138.5,138.99,138.14,138.77,1339958,SYK
8/24/17,29.24,29.42,29.05,29.38,5116343,SYMC
8/24/17,52.57,52.65,51.2,51.22,5272771,SYY
8/24/17,89.09,89.87,88.27,89.81,3484328,TAP
8/24/17,275.01,277.505,270.83,271.43,431052,TDG
8/24/17,78.69,78.78,78.06,78.23,963791,TEL
8/24/17,57.17,57.63,53.9,54.21,15836402,TGT
8/24/17,91.49,92.5,86.31,87.55,2775132,TIF
8/24/17,72.56,73.21,70.6643,70.89,6690477,TJX
8/24/17,77.49,77.62,77.07,77.1,255067,TMK
8/24/17,175.82,176.64,175.54,175.96,1176969,TMO
8/24/17,41.42,41.74,40.94,41.32,2883965,TPR
8/24/17,42,43.86,42,43.32,4618961,TRIP
8/24/17,83.19,83.19,82.38,82.46,1212480,TROW
8/24/17,127.33,127.37,125.51,125.57,1045112,TRV
8/24/17,57.51,58.7225,57.32,57.69,3334648,TSCO
8/24/17,64.47,64.67,63.81,63.86,2519886,TSN
8/24/17,67.21,67.51,66.55,66.7,757353,TSS
8/24/17,101.74,101.85,101.29,101.32,2137572,TWX
8/24/17,81.16,81.495,80.82,81.25,3511122,TXN
8/24/17,48.07,48.18,47.72,47.94,918482,TXT
8/24/17,37.96,37.975,37.635,37.68,10941782,T
8/24/17,17.14,17.19,16.84,17.05,2496762,UAA
8/24/17,63.29,63.29,61.31,61.48,4637362,UAL
8/24/17,15.66,15.93,15.561,15.73,2353772,UA
8/24/17,39.46,39.55,39.055,39.14,2408857,UDR
8/24/17,108.34,109.355,107.935,108.62,320911,UHS
8/24/17,240,247.3,233.02,233.71,2884748,ULTA
8/24/17,194.55,195.07,194.21,194.75,1923668,UNH
8/24/17,48,48.49,47.9,48.38,1602388,UNM
8/24/17,105.39,105.5,104.43,104.57,2768741,UNP
8/24/17,113.84,113.96,113.24,113.35,1147527,UPS
8/24/17,109,109.76,107.33,107.61,973585,URI
8/24/17,52.01,52.11,51.74,51.85,2457386,USB
8/24/17,117.21,117.21,114.95,115.3,4331020,UTX
8/24/17,101.08,101.81,101.02,101.27,497604,VAR
8/24/17,63.38,63.765,62.825,62.94,1625479,VFC
8/24/17,28.54,28.885,28.41,28.65,3446322,VIAB
8/24/17,65.7,67.999,65.7,67.44,5491952,VLO
8/24/17,115.12,115.39,113.76,114.34,1029877,VMC
8/24/17,74.72,75.2299,73.98,74,1505145,VNO
8/24/17,81.3,81.3,79.87,80.26,717297,VRSK
8/24/17,101.12,101.65,100.3101,101.5,584455,VRSN
8/24/17,153.6,156.63,151.1,156.08,1148699,VRTX
8/24/17,67.5,68.09,67.42,67.77,1836946,VTR
8/24/17,48.35,48.555,48.18,48.31,8898226,VZ
8/24/17,103.32,103.5014,102.64,103.22,4082263,V
8/24/17,180.02,181.29,179.75,180.96,216120,WAT
8/24/17,81.27,81.67,79.25,80.5,8015472,WBA
8/24/17,89,90.18,88.35,89.45,3532936,WDC
8/24/17,65,65.14,64.78,64.92,798587,WEC
8/24/17,52.19,52.5288,52.035,52.16,12345029,WFC
8/24/17,169,169.685,167.16,167.35,567827,WHR
8/24/17,149.02,149.045,148.065,148.36,378128,WLTW
8/24/17,29.43,29.63,29.405,29.47,2182394,WMB
8/24/17,80.61,80.88,77.85,78.34,19128041,WMT
8/24/17,76.17,76.25,75.6,75.65,864372,WM
8/24/17,54.87,55.17,54.47,54.68,1438835,WRK
8/24/17,19.06,19.14,18.96,18.98,2451007,WU
8/24/17,135.3,135.3,132.57,134.1,1474386,WYNN
8/24/17,98.15,98.42,96.93,96.97,808439,WYN
8/24/17,31.39,31.99,31.29,31.38,1533412,WY
8/24/17,99.22,99.865,98.87,99.01,576122,XEC
8/24/17,49.3,49.52,49.215,49.35,1977054,XEL
8/24/17,64,64.45,63.52,64.23,2896638,XLNX
8/24/17,43.44,43.44,42.46,42.52,1870530,XL
8/24/17,76.5,76.65,76.2,76.33,8678316,XOM
8/24/17,53,54.81,53,54.62,3173601,XRAY
8/24/17,32,32.29,31.75,32.05,2084751,XRX
8/24/17,59.99,60.21,59.96,60.1,790302,XYL
8/24/17,76.54,76.58,76.03,76.26,1118249,YUM
8/24/17,112.83,113.955,112.41,112.85,993916,ZBH
8/24/17,44.21,44.46,43.98,44.38,1215884,ZION
8/24/17,61.61,61.61,61.15,61.39,2098981,ZTS
8/25/17,34.11,34.37,33.84,33.85,2763622,CFG
8/25/17,29.19,29.19,28.83,28.98,2082777,CF
8/25/17,49.78,50.06,49.74,49.74,865942,CHD
8/25/17,3.89,3.89,3.79,3.79,44981414,CHK
8/25/17,67.06,69.37,66.87,69.07,2003875,CHRW
8/25/17,391.42,392.53,387.51,388.79,758648,CHTR
8/25/17,76.77,77.64,76.7,77.46,331475,CINF
8/25/17,179.95,181.15,179.3,179.3,844421,CI
8/25/17,137.2,137.88,136.97,137.48,367640,CLX
8/25/17,71.12,71.51,70.88,71.15,2162356,CL
8/25/17,70.57,70.95,70.28,70.32,724670,CMA
8/25/17,40.32,40.55,39.92,40.2,13409688,CMCSA
8/25/17,126.29,127.7,126.05,127.1,1578881,CME
8/25/17,301.97,312.92,300.845,308.79,1654110,CMG
8/25/17,152.29,153.03,151.74,152.1,808812,CMI
8/25/17,48.48,48.75,48.4,48.5,1424549,CMS
8/25/17,86.04,86.88,85.75,85.9,1066850,CNC
8/25/17,29.79,29.87,29.655,29.73,1495872,CNP
8/25/17,81.75,82.37,81.44,81.49,1204570,COF
8/25/17,25.03,25.05,24.47,24.85,3609751,COG
8/25/17,129.45,130.35,128.14,129.09,2329483,COL
8/25/17,246.61,248.79,246.13,246.33,259818,COO
8/25/17,43.49,44.11,43.36,43.58,5393759,COP
8/25/17,152.37,152.94,150.06,152.45,5703470,COST
8/25/17,16.25,16.56,16.1,16.4,10229679,COTY
8/25/17,52.67,52.705,51.4,51.4,3719945,CPB
8/25/17,94,95.23,93.87,94.1,5310995,CRM
8/25/17,31.39,31.8,31.36,31.44,19558253,CSCO
8/25/17,31.18,31.405,31.15,31.34,867362,CSRA
8/25/17,48.42,49.111,48.405,48.85,4292796,CSX
8/25/17,133.9,135.1,133.34,133.82,454403,CTAS
8/25/17,20.17,20.43,19.96,20.23,6529342,CTL
8/25/17,70.09,70.74,69.77,69.78,2958991,CTSH
8/25/17,75.87,76.36,75.33,75.37,988235,CTXS
8/25/17,75.57,76.28,75.33,75.35,6416456,CVS
8/25/17,107.82,108.71,107.52,108.23,4384176,CVX
8/25/17,110.37,110.8899,109.36,109.44,680471,CXO
8/25/17,67.8,68.24,67.71,67.85,11883138,C
8/25/17,45.43,47.06,45.35,46.68,13938819,DAL
8/25/17,116.08,116.26,115.06,115.84,1861059,DE
8/25/17,59.63,60.465,59.63,59.69,2776868,DFS
8/25/17,106.74,107.52,106.65,107.02,335819,DGX
8/25/17,76.39,77.84,75.36,77.67,2479018,DG
8/25/17,35.6,35.95,35.4,35.78,2993899,DHI
8/25/17,82.11,82.36,81.92,82.16,2342931,DHR
8/25/17,22.57,22.78,22.5,22.66,2418582,DISCA
8/25/17,21.31,21.51,21.27,21.39,3199827,DISCK
8/25/17,57.56,57.72,56.64,56.64,1115633,DISH
8/25/17,101.69,102.685,101.56,102.41,6186933,DIS
8/25/17,118.62,118.8,117.57,118.14,646608,DLR
