date,close,volume,open,high,low
11/18/14,205.55,75858730,204.44,205.92,204.44
11/19/14,205.22,82226470,205.31,205.55,204.3
11/20/14,205.58,72498660,204.26,205.71,204.18
11/21/14,206.68,142105400,207.64,207.8445,205.98
11/24/14,207.26,65635340,207.17,207.39,206.91
11/25/14,207.11,79013710,207.54,207.79,206.8
11/26/14,207.64,61927210,207.29,207.76,207.03
11/28/14,207.2,57890090,207.49,207.87,206.91
12/1/14,205.76,103711100,206.4,206.54,205.38
12/2/14,207.085,74435510,205.81,207.34,205.782
12/3/14,207.89,68869870,207.3,208.15,207.1
12/4/14,207.66,91222700,207.54,208.265,206.7
12/5/14,208,90978050,207.87,208.47,207.55
12/8/14,206.61,108460400,207.52,208.12,205.93
12/9/14,206.47,125033900,204.37,206.6,203.91
12/10/14,203.1601,159140400,205.91,205.98,202.93
12/11/14,204.19,158542800,203.88,206.19,203.71
12/12/14,200.89,201983200,202.64,203.819,200.85
12/15/14,199.51,188920400,201.98,202.53,198.78
12/16/14,197.91,258867900,198.58,202.395,197.86
12/17/14,201.79,252458700,198.44,202.34,198.29
12/18/14,206.78,256909600,204.74,212.97,203.92
12/19/14,206.52,242836400,206.43,207.33,205.6109
12/22/14,207.47,147884900,206.75,207.47,206.46
12/23/14,207.75,120516200,208.17,208.23,207.3991
12/24/14,207.77,42963400,208.02,208.34,207.72
12/26/14,208.44,57204150,208.31,208.85,208.25
12/29/14,208.72,79514380,208.22,208.97,208.14
12/30/14,207.6,73448190,208.21,208.37,207.51
12/31/14,205.54,130284300,207.99,208.19,205.39
1/2/15,205.43,121394000,206.38,206.88,204.18
1/5/15,201.72,169139200,204.17,204.37,201.35
1/6/15,199.82,208922400,202.09,202.72,198.855
1/7/15,202.31,125069700,201.42,202.72,200.88
1/8/15,205.9,146039400,204.01,206.16,203.99
1/9/15,204.25,157293400,206.4,206.42,203.51
1/12/15,202.65,144043100,204.41,204.6,201.92
1/13/15,202.08,214341100,204.12,205.48,200.51
1/14/15,200.86,192551700,199.65,201.1,198.57
1/15/15,199.0199,175383200,201.63,202.01,198.88
1/16/15,201.63,211677200,198.77,201.82,198.55
1/20/15,202.055,130756800,202.4,202.72,200.17
1/21/15,203.08,122729500,201.5,203.66,200.94
1/22/15,206.1,173536400,203.99,206.26,202.33
1/23/15,204.97,117356900,205.79,206.1,204.81
1/26/15,205.45,91684840,204.71,205.56,203.85
1/27/15,202.74,133590500,202.97,204.12,201.74
1/28/15,200.14,167681700,204.17,204.29,199.91
1/29/15,201.9902,173293000,200.38,202.3,198.68
1/30/15,199.45,193789000,200.57,202.17,199.13
2/2/15,201.92,162649000,200.05,202.03,197.86
2/3/15,204.84,123861500,203,204.85,202.55
2/4/15,204.06,132933500,203.92,205.38,203.51
2/5/15,206.12,97236260,204.86,206.3,204.77
2/6/15,205.55,125550800,206.56,207.24,204.92
2/9/15,204.63,87074270,204.77,205.64,204.135
2/10/15,206.81,95999260,205.88,207.12,204.6801
2/11/15,206.93,90268410,206.61,207.45,205.83
2/12/15,208.92,97202820,207.89,208.99,206.9727
2/13/15,209.78,93553960,209.07,209.84,208.76
2/17/15,210.11,76888670,209.4,210.32,209.1
2/18/15,210.13,80057400,209.66,210.22,209.3401
2/19/15,209.98,91364150,209.41,210.42,209.24
2/20/15,211.239,140029800,209.48,211.33,208.73
2/23/15,211.209,74250690,210.94,211.21,210.48
2/24/15,211.81,72214030,211.12,212.05,210.76
2/25/15,211.63,72874810,211.66,212.24,211.22
2/26/15,211.38,72577040,211.52,211.71,210.65
2/27/15,210.66,107946400,211.26,211.58,210.6
3/2/15,211.99,87300760,210.78,212.06,210.72
3/3/15,211.12,110141700,211.47,212.054,210.08
